,contents,label
0,대통령선거 본선에 나가기 직전에 사표를 제출하면 보궐선거는 없다,1
1,문재인캠프 영입인사의 과거 이력에 관한 주장은 사실과 다르다.,0
2,민주당의 호남권 대선후보 경선 결과 무효표가 무려 10만여 표가 나왔다.,0
3,자유한국당 홍준표 대선후보가 경선 토론회에서 민주당 문재인 경선후보는 세월호 선사인 세모그룹 파산관재인 이라고 발언,0
4,자유한국당 대선 후보로 선출된 홍준표 후보는 선거운동을 할 수 없다. ,1
5,유승민 후보가 선거보조금 50억 원을 받은 뒤 자유한국당과 합당할 거라는 이야기가 있다. 그러면 정치적 사망이다. 제2의 이정희가 된다.,0
6,2011년 서울대 정교수 자리로 안철수 부부가 모두 채용됨. 서울대는 안철수 후보와 부인을 각각 별개로 채용했다는데 사실일까,0
7,2006년 문재인의 민정수석실 노무현 대통령의 사돈이 낸 교통사고 음주운전 아니었다 발표 사실은,0
8,경남도지사직 사퇴 시기를 늦춰서 보궐선거가 없도록 하겠다는 건 꼼수사퇴인가,1
9,국가 간 합의 뒤 사드 입장 변화는 사실일까,0
10,문재인 전 더불어민주당 대표는 공무원 일자리 공약을 내놓으며 소방공무원이 법정기준에 비해 1만7000명가량이 부족하다며 또 지방직이라 지자체 형편에 따라 처우가 다 제각각이라고 했습니다. 사실인가요 ,1
11, 측 안철수 장녀 재산 공개해야는 사실,0
12,유승민 홍준표 심야사퇴는 꼼수홍준표 방지법 만들자,1
13,문재인 후보 측 안철수 딸 재산공개 거부 이유는 엉터리 해명이다,0
14,기업 마케팅용으로 주로 활용되는 스마트폰 앱 여론조사를 선거조사에 쓰는 것이 적절.,0
15,유승민 안철수 작년 7월엔 사드 국민투표 하자더니 이후 한미 간 합의해 어쩔 수 없다 말 바꿔,1
16,국민의당 안철수 후보는 초등학교 병설 유치원 신설 자제 공약을 발표했을까.,0
17,대선 앞두고 퍼지고 있는 4월 북한 폭격설은 대선 표심에 영향을 주려는 가짜뉴스다,1
18,문재인 LTE 기지국 등 통신망과 관련된 설비 투자는 이미 끝났으니 기본료는 필요 없다,0
19,국민의당 안철수 후보 측은 국공립 유치원 신설을 자제할 계획인가,0
20,안철수 국민의당 후보 딸은 원정출산에 이중국적이다 는 주장,0
21,바른정당 유승민 의원은 문재인 안철수 후보가 사드에 반대하다가 이제 와서 보수표를 얻기 위해 말을 바꾸고 있다고 비판했다. 두 후보의 사드 말 바꾸기는 사실일까 ,1
22,문재인 민주당 후보 아들이 고용정보원에서 휴직 중 승진했다 는 의혹 ,0
23,안철수 국민의당 대선후보가 집권하면 장관들 사표부터 받겠다며 차관 체제로 국무회의를 진행하겠다고 밝혔는데 과연 차관 체제로 국무회의 진행이 가능할까,0
