,content,fact
1,현재 지지율 1위 문재인 민주당 경선 후보 아들과 관련한 취업특혜 논란이 있다.,절반의 사실
2,공백,공백
3,더불어민주당도 국모닝 했다,절반의 사실
4,대통령선거 본선에 나가기 직전에 사표를 제출하면 보궐선거는 없다,대체로 사실
5,공공부문 일자리 81만개 만들 수 있다,절반의 사실
6,문재인캠프 영입인사의 과거 이력에 관한 주장은 사실과 다르다.,대체로 사실 아님
7,공백,공백
8,공백,공백
9,공백,공백
10,공백,공백
11,민주당의 호남권 대선후보 경선 결과 무효표가 무려 10만여 표가 나왔다.,대체로 사실 아님
12,공백,공백
13,홍준표 지사는 1심에서 1년 6개월 징역형 유죄를 받은 사람입니다. 2심에서는 무죄를 받았죠. 대통령이 된 뒤에 법원에 재판을 받으러 가는 상황이 저로서는 이해가 안됩니다.,절반의 사실
14,공백,공백
15,자유한국당 홍준표 대선후보가 경선 토론회에서 민주당 문재인 경선후보는 세월호 선사인 세모그룹 파산관재인 이라고 발언,전혀 사실 아님
16,공백,공백
17,공백,공백
18,공백,공백
19,공백,공백
20,공백,공백
21,공백,공백
22,공백,공백
23,심상정 정의당 대선 후보  병사 한 명이 21개월 군 생활하면서 집에서 받아 쓰는 돈이 평균 271만원. ,절반의 사실
24,자유한국당 대선 후보로 선출된 홍준표 후보는 선거운동을 할 수 없다. ,대체로 사실
25,공백,공백
26,유승민 후보가 선거보조금 50억 원을 받은 뒤 자유한국당과 합당할 거라는 이야기가 있다. 그러면 정치적 사망이다. 제2의 이정희가 된다.,전혀 사실 아님
27,공백,공백
28,2011년 서울대 정교수 자리로 안철수 부부가 모두 채용됨. 서울대는 안철수 후보와 부인을 각각 별개로 채용했다는데 사실일까,대체로 사실 아님
29,2006년 문재인의 민정수석실 노무현 대통령의 사돈이 낸 교통사고 음주운전 아니었다 발표 사실은,전혀 사실 아님
30,공백,공백
31,공백,공백
32,경남도지사직 사퇴 시기를 늦춰서 보궐선거가 없도록 하겠다는 건 꼼수사퇴인가,대체로 사실
33,국가 간 합의 뒤 사드 입장 변화는 사실일까,대체로 사실 아님
34,고용정보원은 2007년과 2010년에 두번의 고용노동부 감사를 받았음. 문재인 후보 아들 채용에 특혜는 없었음이 확인됨.,절반의 사실
35,안철수 국민의당 후보 부인 김미경 교수가 카이스트 교수 임용 당시 부교수만 8년이라고 허위 기재했다,절반의 사실
36,공백,공백
37,문재인 전 더불어민주당 대표는 공무원 일자리 공약을 내놓으며 소방공무원이 법정기준에 비해 1만7000명가량이 부족하다며 또 지방직이라 지자체 형편에 따라 처우가 다 제각각이라고 했습니다. 사실인가요 ,대체로 사실
38, 측 안철수 장녀 재산 공개해야는 사실,대체로 사실 아님
39,안철수 후보의 부인이 교수 임용과정에서 특혜를 입었다,절반의 사실
40,문재인 민주당 후보 아들이 고용정보원에 낸 이력서 관련 의혹 사실은,판단 유보
41,경남도지사 사퇴시한 직전에 그만두면 보궐선거 없다는 주장. 사실성과 당위성을 종합 검증.,절반의 사실
42,유승민 홍준표 심야사퇴는 꼼수홍준표 방지법 만들자,사실
43,공백,공백
44,공백,공백
45,공백,공백
46, 양자대결 결과 여론조사마다 왜 널뛰나,판단 유보
47,심상정 후보의 핀란드형 직업고는 청년 일자리 해법,절반의 사실
48,문재인 후보 측 안철수 딸 재산공개 거부 이유는 엉터리 해명이다,대체로 사실 아님
49,기업 마케팅용으로 주로 활용되는 스마트폰 앱 여론조사를 선거조사에 쓰는 것이 적절.,대체로 사실 아님
50,유승민 안철수 작년 7월엔 사드 국민투표 하자더니 이후 한미 간 합의해 어쩔 수 없다 말 바꿔,사실
